NUMERO,REGION,F4,F5,P32,P33_C,P33_H,P33_S,P33_W,P56,P56_1,P57,P58,P60,FACTOR_TOTAL,P59_A,P59_B,P59_C,P59_D,P59_E,P59_F,P59_G,P59_H,P59_I,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,P61B_9,P61B_OTRO,P61B_OTRO_COD,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61A_OTRO,P61A_OTRO_COD,anio,tamano_empresa,es_mipyme,sector
110,1,3,1,4,5,5,4,4,2,3,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,5.0,,,,,,,2024,Micro,1,Servicios
111,1,2,1,3,3,4,4,3,2,3,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,2024,Micro,1,Comercio
112,1,2,1,3,5,5,5,4,2,4,2,2,,209.6189111747851,,,,,,,,,,,2.0,,,,,,,,,,,2.0,3.0,,,,,,,,,2024,Micro,1,Comercio
113,1,1,1,4,3,1,1,1,3,3,3,2,,103.51764705882353,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Industria
114,1,3,1,4,4,3,3,4,1,3,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
115,1,2,1,5,5,3,2,5,3,4,2,2,,209.6189111747851,,,,,,,,,,,,,,,,,8.0,,,,,,3.0,,5.0,,,,,,,2024,Micro,1,Comercio
116,1,2,1,3,2,2,2,1,2,3,1,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
117,1,3,1,4,2,1,2,1,2,1,3,2,,272.0928725701944,,,,,,,,,,,,,,,,,8.0,,,,,,,,5.0,6.0,,,,,,2024,Micro,1,Servicios
118,1,2,1,2,5,4,3,2,3,4,3,2,,209.6189111747851,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,,7.0,,,,,1.0,2.0,,4.0,5.0,6.0,7.0,,,,,2024,Micro,1,Comercio
119,1,2,1,3,3,5,5,4,3,4,2,1,1.0,209.6189111747851,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Comercio
120,1,1,1,5,4,4,3,2,1,3,3,2,,103.51764705882353,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,,5.0,,7.0,,,,,2024,Micro,1,Industria
121,1,3,1,1,2,1,2,2,2,3,3,2,,272.0928725701944,,,,,,,,,,,2.0,3.0,,5.0,,7.0,,,,,1.0,2.0,3.0,,5.0,,,,,,,2024,Micro,1,Servicios
123,1,2,1,3,3,2,1,1,2,3,3,1,1.0,209.6189111747851,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
124,1,3,1,4,2,3,5,1,2,3,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,CUIDADOS EN EL BARRIO,13.0,2024,Micro,1,Servicios
125,1,3,2,2,1,1,3,2,2,4,2,2,,170.04225352112675,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,,7.0,,,,,,,,4.0,5.0,,7.0,,,,,2024,Pequeña,1,Servicios
126,1,2,1,1,4,2,4,3,3,4,2,2,,209.6189111747851,,,,,,,,,,1.0,2.0,,,,,,,,,,,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
128,1,2,1,1,2,2,2,2,2,2,1,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,8.0,,,,1.0,,,,5.0,,7.0,,,,,2024,Micro,1,Comercio
129,1,2,1,5,4,3,4,2,3,4,2,2,,209.6189111747851,,,,,,,,,,,,,,,,,8.0,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
130,1,1,1,4,4,2,2,3,1,4,3,2,,103.51764705882353,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Industria
131,1,2,1,3,4,2,3,3,1,3,3,2,,209.6189111747851,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
132,1,2,1,3,3,1,2,1,2,1,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
133,1,2,1,4,4,4,3,3,1,4,2,2,,209.6189111747851,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
134,1,2,1,5,3,3,4,3,3,2,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,,,,2024,Micro,1,Comercio
137,1,3,1,2,3,2,3,2,3,3,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,5.0,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Servicios
139,1,3,1,4,4,3,3,3,2,1,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,6.0,,,,,,2024,Micro,1,Servicios
140,1,2,1,4,5,3,4,5,1,5,1,2,,209.6189111747851,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
141,1,2,1,3,2,3,3,2,3,5,2,2,,209.6189111747851,,,,,,,,,,,,3.0,4.0,,6.0,,,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
142,1,2,1,3,2,4,4,2,2,3,3,1,1.0,209.6189111747851,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,4.0,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
145,1,1,1,2,2,2,2,2,2,2,3,1,2.0,103.51764705882353,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,2024,Micro,1,Industria
146,1,3,1,4,1,1,1,1,2,1,3,1,1.0,272.0928725701944,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,8.0,,,,,2.0,3.0,,,,,,,,,2024,Micro,1,Servicios
147,1,3,1,1,3,1,3,3,2,3,3,1,1.0,272.0928725701944,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,2.0,,,,,7.0,,,,,2024,Micro,1,Servicios
148,1,3,1,3,2,1,4,1,2,3,2,2,,272.0928725701944,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,2.0,,4.0,5.0,,,,,,,2024,Micro,1,Servicios
150,1,2,1,4,3,4,2,4,2,4,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Comercio
152,1,3,1,2,1,2,3,2,2,1,3,2,,272.0928725701944,,,,,,,,,,,,,,,,7.0,,,,,,,,,5.0,,,,,,,2024,Micro,1,Servicios
153,1,2,1,2,1,1,2,1,2,2,2,2,,209.6189111747851,,,,,,,,,,,,3.0,,5.0,,,,,,,,2.0,,,,6.0,,,,,,2024,Micro,1,Comercio
154,1,1,1,3,3,1,1,1,1,1,3,2,,103.51764705882353,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,6.0,,,,,,2024,Micro,1,Industria
155,1,3,1,4,2,5,1,1,3,4,3,2,,272.0928725701944,,,,,,,,,,1.0,,,4.0,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
