NUMERO,corredor,PRIMERA,CALL13,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,sector,seguridad_empeoro,fue_victima,indice_satisfaccion,obras_iniciadas
1700,2,14.0,,25/11/2024 6:05:05 p. m.,3,1,3.0,1.0,1.0,0,0,100,0,0,1,1,2,3,3,3,3,1,3,3,2,4,,4,3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5,2,5,1,44,5,14,Primera Línea Metro,Micro,1,Servicio,0,0,2.4166666666666665,0
1701,2,6.0,,26/11/2024 9:12:08 a. m.,3,1,1.0,,,50,0,50,0,0,1,1,2,1,3,3,2,3,3,3,3,3,1.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,5,2,3,1,56,5,6,Primera Línea Metro,Micro,1,Servicio,1,1,2.3333333333333335,1
1702,2,6.0,,26/11/2024 9:56:44 a. m.,3,2,1.0,1.0,,0,0,100,0,0,1,1,4,3,3,1,1,3,1,2,1,4,3.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,2,45,3,6,Primera Línea Metro,Pequeña,1,Servicio,1,1,2.0833333333333335,1
1703,2,6.0,,26/11/2024 10:14:28 a. m.,3,2,2.0,,,30,0,30,30,10,3,3,4,3,3,3,3,4,2,3,2,3,4.0,4,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,52,2,6,Primera Línea Metro,Pequeña,1,Servicio,1,1,3.0,1
1704,2,6.0,,26/11/2024 9:18:24 a. m.,3,2,1.0,,,0,0,0,100,0,1,2,4,4,3,1,3,3,1,5,2,5,5.0,3,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,1,52,2,6,Primera Línea Metro,Pequeña,1,Servicio,0,0,2.8333333333333335,1
1705,2,6.0,,26/11/2024 10:45:55 a. m.,3,1,1.0,1.0,,100,0,0,0,0,2,3,3,2,5,3,3,1,3,2,3,1,5.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,1,1,2,53,4,6,Primera Línea Metro,Micro,1,Servicio,0,0,2.5833333333333335,1
1706,2,13.0,,26/11/2024 11:16:43 a. m.,2,2,2.0,1.0,2.0,100,0,0,0,0,5,5,5,5,5,4,5,5,5,5,5,5,4.0,4,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,2,22,5,13,Primera Línea Metro,Pequeña,1,Comercio,0,0,4.916666666666667,1
1707,2,13.0,,26/11/2024 11:08:20 a. m.,2,1,2.0,2.0,2.0,0,0,100,0,0,3,3,2,3,3,2,3,1,2,2,3,4,,4,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,2,22,3,13,Primera Línea Metro,Micro,1,Comercio,1,1,2.5833333333333335,1
1708,2,6.0,,26/11/2024 11:21:09 a. m.,2,4,2.0,2.0,1.0,0,0,50,25,25,4,4,5,4,1,2,3,1,1,3,1,3,5.0,4,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,3,4,1,2,29,3,6,Primera Línea Metro,Grande,0,Comercio,0,0,2.6666666666666665,1
1709,2,6.0,,26/11/2024 10:42:27 a. m.,3,2,2.0,2.0,,0,0,100,0,0,1,1,2,1,2,2,1,2,1,4,1,2,5.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,3,4,5,2,45,3,6,Primera Línea Metro,Pequeña,1,Servicio,0,0,1.6666666666666667,1
1710,2,13.0,,26/11/2024 11:40:35 a. m.,2,1,1.0,1.0,,100,0,0,0,0,5,5,5,5,5,5,5,5,4,5,5,4,5.0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,5,5,1,2,64,5,13,Primera Línea Metro,Micro,1,Comercio,0,0,4.833333333333333,1
1711,2,13.0,,26/11/2024 11:46:22 a. m.,2,1,4.0,2.0,,0,0,90,0,10,1,1,1,1,4,2,1,2,1,1,3,1,,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,2,63,5,13,Primera Línea Metro,Micro,1,Comercio,1,1,1.5833333333333333,1
1712,2,13.0,,26/11/2024 11:59:53 a. m.,2,1,3.0,1.0,,0,0,100,0,0,2,1,2,2,1,3,1,3,1,5,3,4,5.0,4,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,63,4,13,Primera Línea Metro,Micro,1,Comercio,1,1,2.3333333333333335,1
1713,2,13.0,,26/11/2024 12:03:13 p. m.,2,1,2.0,1.0,,0,0,50,50,0,2,1,4,4,4,3,2,1,3,3,1,3,,5,3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,70,5,13,Primera Línea Metro,Micro,1,Comercio,0,0,2.5833333333333335,1
1714,2,6.0,,26/11/2024 12:09:32 p. m.,3,3,2.0,1.0,1.0,100,0,0,0,0,1,1,4,3,2,3,1,3,2,4,1,3,3.0,5,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,1,2,3,30,3,6,Primera Línea Metro,Mediana,1,Servicio,0,0,2.3333333333333335,1
