NUMERO,corredor,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,seguridad_empeoro,fue_victima,indice_satisfaccion
387,2,9/10/2024 2:42:06 p. m.,2,2,1.0,1.0,,100,0,0,0,0,2,2,2,1,3,1,5,3,3,1,1,3,5,5,3,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,1,,,,5,,7,3,3,2,2,68,3,5,Primera Línea Metro,Pequeña,1,0,0,2.25
388,2,9/10/2024 2:53:06 p. m.,2,2,1.0,,,100,0,0,0,0,3,1,3,5,5,3,3,3,1,1,5,1,3,5,3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,,,3,,5,,7,3,5,5,1,54,3,5,Primera Línea Metro,Pequeña,1,0,0,2.8333333333333335
389,2,9/10/2024 2:26:07 p. m.,2,1,2.0,1.0,,100,0,0,0,0,4,3,3,3,3,3,4,3,2,3,4,4,5,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,,2,3,,,6,,5,1,1,2,18,3,5,Primera Línea Metro,Micro,1,0,0,3.25
390,2,9/10/2024 2:48:29 p. m.,2,2,1.0,,,0,0,0,100,0,1,1,1,1,1,1,3,1,1,5,1,1,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,,,3,,,6,7,5,5,5,2,65,5,5,Primera Línea Metro,Pequeña,1,0,0,1.5
391,2,9/10/2024 3:03:37 p. m.,3,2,2.0,1.0,,100,0,0,0,0,1,3,2,2,1,1,4,4,1,4,1,4,4,4,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,,,3,,5,,7,1,5,5,1,62,3,5,Primera Línea Metro,Pequeña,1,1,0,2.3333333333333335
392,2,9/10/2024 2:58:35 p. m.,2,2,1.0,1.0,,50,0,50,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,,,,4,,,7,5,3,3,2,53,5,16,Primera Línea Metro,Pequeña,1,1,1,1.0
393,2,9/10/2024 3:11:53 p. m.,2,2,3.0,3.0,1.0,100,0,0,0,0,2,1,3,3,2,2,2,5,1,4,2,5,5,3,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,,,,4,,,,3,2,1,2,20,3,5,Primera Línea Metro,Pequeña,1,0,0,2.6666666666666665
394,1,9/10/2024 2:29:20 p. m.,2,2,3.0,1.0,,0,0,80,0,20,3,3,4,4,4,4,5,2,3,5,4,3,93,3,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,,,4,,6,7,5,2,2,2,30,3,19,Calle 13,Pequeña,1,0,0,3.6666666666666665
395,1,9/10/2024 4:26:15 p. m.,2,2,2.0,1.0,1.0,0,0,100,0,0,1,2,1,1,1,1,1,1,4,2,1,4,4,5,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,,,3,4,,,7,4,2,3,1,36,3,19,Calle 13,Pequeña,1,0,0,1.6666666666666667
396,1,9/10/2024 5:25:51 p. m.,2,3,10.0,3.0,1.0,0,20,60,0,20,4,2,4,2,3,4,5,2,4,4,2,3,93,4,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,,2,3,4,,,,3,2,1,1,32,3,19,Calle 13,Mediana,1,1,0,3.25
397,1,9/10/2024 5:49:12 p. m.,2,1,2.0,2.0,1.0,0,0,100,0,0,2,2,4,1,2,1,1,1,2,1,2,3,93,5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,,3,4,,,,2,2,2,2,25,4,19,Calle 13,Micro,1,1,1,1.8333333333333333
398,1,9/10/2024 6:18:04 p. m.,2,2,4.0,4.0,1.0,0,0,0,0,100,3,4,2,4,4,4,5,4,2,5,4,4,93,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,,,3,,,,7,1,1,1,2,21,4,19,Calle 13,Pequeña,1,0,0,3.75
399,2,10/10/2024 9:22:57 a. m.,92,1,5.0,4.0,1.0,80,0,20,0,0,1,1,3,4,3,1,3,5,4,5,1,5,5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,2,,,,6,,5,5,5,2,29,3,4,Primera Línea Metro,Micro,1,0,0,3.0
400,2,10/10/2024 9:23:18 a. m.,2,92,1.0,1.0,,0,0,100,0,0,1,1,1,1,3,1,2,1,3,1,1,1,4,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,2,3,,,,7,1,2,1,2,33,3,4,Primera Línea Metro,NS/NR,0,1,0,1.4166666666666667
401,2,10/10/2024 9:24:19 a. m.,2,1,3.0,3.0,1.0,100,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,,,3,4,,,7,5,1,1,2,28,5,4,Primera Línea Metro,Micro,1,1,0,1.3333333333333333
402,2,10/10/2024 9:28:40 a. m.,3,3,2.0,2.0,1.0,0,0,100,0,0,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,,2,3,,,,7,3,3,3,2,23,4,4,Primera Línea Metro,Mediana,1,1,1,1.0833333333333333
404,2,10/10/2024 9:38:01 a. m.,2,3,1.0,1.0,,100,0,0,0,0,1,1,4,3,1,4,1,1,3,3,1,5,5,5,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,,,3,4,,,7,5,5,5,2,61,3,4,Primera Línea Metro,Mediana,1,1,1,2.3333333333333335
405,2,10/10/2024 9:25:55 a. m.,3,2,1.0,1.0,,0,0,100,0,0,3,3,3,2,2,2,2,3,2,4,1,3,1,5,1,,,,,,,,0,0,0,0,0,0,0,1,,,3,4,,,,2,2,2,2,29,4,4,Primera Línea Metro,Pequeña,1,0,0,2.5
406,2,10/10/2024 9:49:46 a. m.,2,1,1.0,1.0,,0,0,100,0,0,1,2,2,3,1,3,1,3,1,3,1,3,4,5,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0,1,0,0,,2,,,,6,,1,5,5,1,36,4,4,Primera Línea Metro,Micro,1,1,1,2.0
